	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_8140	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_8141	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_8142	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Reichenbachiella	NA
ASV_8143	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV_8144	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_8145	Bacteria	Verrucomicrobiota	Kiritimatiellae	NA	NA	NA	NA
ASV_8146	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	NA
ASV_8147	Bacteria	NA	NA	NA	NA	NA	NA
ASV_8148	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Marinomonadaceae	Marinomonas	NA
ASV_8149	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA
ASV_8150	Eukaryota	Cryptophyceae_ph	Cryptophyceae_cl	Cryptomonadales	Cryptomonadales_fa	Chroomonas	NA
ASV_8151	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_8152	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	NA
ASV_8153	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	NA
ASV_8154	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	NA	NA
ASV_8155	Eukaryota	MAST-4	MAST-4D	NA	NA	NA	NA
ASV_8156	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Wenyingzhuangia	NA
ASV_8157	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_8158	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	NA
ASV_8159	NA	NA	NA	NA	NA	NA	NA
ASV_8160	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_8161	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_8162	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_8163	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	NA	NA
ASV_8164	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8165	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade	NA
ASV_8166	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Megaira	NA
ASV_8167	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	NA	NA
ASV_8168	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	NA
ASV_8169	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV_8170	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_8171	Bacteria	Desulfobacterota	NA	NA	NA	NA	NA
ASV_8172	Bacteria	Patescibacteria	ABY1	NA	NA	NA	NA
ASV_8173	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV_8174	Eukaryota	Labyrinthulomycetes	Labyrinthulomycetes_cl	Labyrinthulomycetes_or	Thraustochytriaceae	Ulkenia	NA
ASV_8175	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19_marine_sediment_group	NA
ASV_8176	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8177	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia	NA
ASV_8178	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_BD2-2	NA	NA
ASV_8179	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_8180	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_8181	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	NA	NA
ASV_8182	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_8183	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV_8184	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA	NA
ASV_8185	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	MD3-55	NA
ASV_8186	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8187	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8188	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_8189	Eukaryota	Protalveolata	Syndiniales	Syndiniales_or	Syndiniales_Group_II	NA	NA
ASV_8190	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	NA	NA	NA
ASV_8191	Bacteria	Cyanobacteria	Cyanobacteriia	NA	NA	NA	NA
ASV_8192	Eukaryota	Chlorophyta_ph	Prasinophytae	NA	NA	NA	NA
ASV_8193	Bacteria	NA	NA	NA	NA	NA	NA
ASV_8194	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_8195	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_8196	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_8197	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	NA	NA
ASV_8198	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA	NA
ASV_8199	Bacteria	NA	NA	NA	NA	NA	NA
ASV_8200	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8201	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	Fangia	NA
ASV_8202	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_8203	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	NA
ASV_8204	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	LS-NOB	NA
ASV_8205	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169_marine_group	NA	NA
ASV_8206	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	NA	NA
ASV_8207	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	NA	NA
ASV_8208	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	NA	NA
ASV_8209	Eukaryota	Protalveolata	Syndiniales	Syndiniales_or	NA	NA	NA
ASV_8210	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8211	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Coraliomargarita	NA
ASV_8212	Eukaryota	Arthropoda	Maxillopoda	Calanoida	NA	NA	NA
ASV_8213	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_8214	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_8215	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_8216	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8217	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV_8218	Archaea	Thermoplasmatota	Thermoplasmata	Marine_Group_II	NA	NA	NA
ASV_8219	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8220	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_8221	Bacteria	Margulisbacteria	NA	NA	NA	NA	NA
ASV_8222	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV_8223	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_8224	Eukaryota	Arthropoda	Maxillopoda	Cyclopoida	NA	NA	NA
ASV_8225	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	NA
ASV_8226	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade	NA
ASV_8227	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_8228	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_8229	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	MD3-55	NA
ASV_8230	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_8231	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_8232	Eukaryota	Protalveolata	Syndiniales	Syndiniales_or	Syndiniales_fa	Hematodinium	NA
ASV_8233	Eukaryota	Protalveolata	Syndiniales	Syndiniales_or	Syndiniales_fa	Amoebophrya	NA
ASV_8234	Eukaryota	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
ASV_8235	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_8236	Eukaryota	Diatomea	Mediophyceae	Mediophyceae_or	Mediophyceae_fa	Chaetoceros	NA
ASV_8237	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas	NA
